,Word,Count
0,cambridge analytica,499
1,new york,233
2,mr trump,221
3,united states,204
4,social media,174
5,mr zuckerberg,136
6,last year,126
7,chief executive,124
8,social network,118
9,mark zuckerberg,116
10,president trump,113
11,facebook users,111
12,50 million,110
13,white house,102
14,york times,99
15,facebook data,97
16,silicon valley,92
17,last week,78
18,personal information,72
19,third party,71
20,european union,71
21,personal data,65
22,million facebook,63
23,donald trump,62
24,mr nix,61
25,mr wylie,58
26,tech companies,58
27,user data,56
28,trump administration,55
29,wall street,54
30,vote leave,53
31,san francisco,52
32,trump campaign,52
33,consulting firm,51
34,mr broidy,51
35,trade war,50
36,data privacy,47
37,national security,47
38,mr stamos,46
39,facebook chief,45
40,year old,44
41,nytimes com,42
42,last month,41
43,firm cambridge,41
44,years ago,41
45,prime minister,41
46,mr bolton,40
47,2016 election,39
48,data 50,39
49,unnamed sources,38
