"cambridge analytica" 3176
"mark zuckerberg" 822
"facebook got" 646
"data millions" 633
"dog poop" 625
"guess walking" 625
"idiot liberals" 625
"even idiot" 625
"picking dog" 625
"around tee" 625
"shirts picking" 625
"doesnt fool" 625
"anybody even" 625
"fool anybody" 625
"poop doesnt" 625
"liberals anymore" 625
"tee shirts" 625
"walking around" 625
"got data" 608
"campaign app" 603
"app may" 603
"losing effort" 595
"support losing" 595
"effort campaign" 595
"millions support" 595
"pair facebook" 595
"may hav" 594
"87 million" 591
"set sights" 501
"midterm elections" 484
"ahem gt" 480
"sights 2018" 480
"gt cambridge" 480
"quietly set" 480
"2018 midterm" 480
"analytica quietly" 480
"elon musk" 434
"alexander nix" 421
"facebook says" 405
"every single" 403
"deletefacebook like" 402
"musk india" 402
"analytica ceo" 402
"would deletefacebook" 402
"saturdaymorning would" 402
"like elon" 402
"video made" 399
"ceo alexander" 398
"personality every" 398
"predicted personality" 398
