,Word,Count
0,facebook,1979
1,mr,1479
2,data,1256
3,company,862
4,new,606
5,people,604
6,trump,593
7,percent,590
8,cambridge,572
9,users,532
10,analytica,500
11,one,489
12,companies,488
13,information,445
14,zuckerberg,438
15,year,426
16,privacy,399
17,last,374
18,million,363
19,president,357
20,social,353
21,two,293
22,billion,290
23,time,287
24,firm,283
25,tech,282
26,trade,274
27,political,265
28,may,264
29,years,264
30,media,262
31,many,262
32,used,260
33,states,252
34,chief,251
35,first,245
36,news,238
37,times,238
38,even,237
39,york,236
40,united,235
41,says,234
42,china,234
43,week,232
44,campaign,229
45,use,228
46,business,226
47,ms,225
48,much,225
49,world,225
