,Word,Count
0,facebook,3606
1,cambridge,1755
2,analytica,1281
3,data,1259
4,delete,573
5,users,566
6,deletefacebook,499
7,new,457
8,million,445
9,zuckerberg,441
10,people,427
11,says,383
12,87,325
13,may,311
14,video,303
15,get,279
16,mark,257
17,one,250
18,social,246
19,privacy,244
20,time,241
21,know,237
22,account,231
23,scandal,211
24,news,205
25,fb,192
26,still,187
27,twitter,187
28,shared,182
29,need,181
30,today,177
31,trump,175
32,used,175
33,make,170
34,live,167
35,good,165
36,media,163
37,information,161
38,day,160
39,see,159
40,posted,157
41,years,150
42,going,149
43,first,148
44,deleted,148
45,go,142
46,personal,139
47,april,138
48,please,135
49,share,134
