name,count
facebook,1979
mr,1479
data,1256
company,862
new,606
people,604
trump,593
percent,590
cambridge,572
users,532
analytica,500
one,489
companies,488
information,445
zuckerberg,438
year,426
privacy,399
last,374
million,363
president,357
social,353
two,293
billion,290
time,287
firm,283
tech,282
trade,274
political,265
may,264
years,264
media,262
many,262
used,260
states,252
chief,251
first,245
news,238
times,238
even,237
york,236
united,235
says,234
china,234
week,232
campaign,229
use,228
business,226
ms,225
much,225
world,225
