name,count
facebook,3606
cambridge,1755
analytica,1281
data,1259
delete,573
users,566
deletefacebook,499
new,457
million,445
zuckerberg,441
people,427
says,383
87,325
may,311
video,303
get,279
mark,257
one,250
social,246
privacy,244
time,241
know,237
account,231
scandal,211
news,205
fb,192
still,187
twitter,187
shared,182
need,181
today,177
trump,175
used,175
make,170
live,167
good,165
media,163
information,161
day,160
see,159
posted,157
years,150
going,149
first,148
deleted,148
go,142
personal,139
april,138
please,135
share,134
